anchor_id,positive_id,negative_id
FIG_00033620,FIG_00033621,FIG_00033622
FIG_00033620,FIG_00033621,FIG_00034375
FIG_00001700,FIG_00001701,FIG_00002005
FIG_00001700,FIG_00001701,FIG_00002113
FIG_00001700,FIG_00001701,FIG_00006855
FIG_00001700,FIG_00001701,FIG_00003915
FIG_00001700,FIG_00001701,FIG_00032165
FIG_00007579,FIG_00007585,FIG_00020280
FIG_00007579,FIG_00007585,FIG_00020279
FIG_00031991,FIG_00031992,FIG_00034244
FIG_00031991,FIG_00031995,FIG_00034244
FIG_00027359,FIG_00027360,FIG_00028546
FIG_00027359,FIG_00027360,FIG_00028651
FIG_00027359,FIG_00027360,FIG_00033546
FIG_00027359,FIG_00027360,FIG_00027984
FIG_00027359,FIG_00027360,FIG_00033512
FIG_00017786,FIG_00017787,FIG_00028628
FIG_00017786,FIG_00017787,FIG_00019528
FIG_00017786,FIG_00017787,FIG_00033809
FIG_00017786,FIG_00017787,FIG_00028079
FIG_00017786,FIG_00017787,FIG_00031281
FIG_00004330,FIG_00004332,FIG_00013044
FIG_00004330,FIG_00004332,FIG_00008622
FIG_00004330,FIG_00004332,FIG_00011742
FIG_00004330,FIG_00004332,FIG_00004772
FIG_00004330,FIG_00004332,FIG_00008143
FIG_00018436,FIG_00018438,FIG_00026939
FIG_00018436,FIG_00018438,FIG_00034592
FIG_00018436,FIG_00018438,FIG_00019889
FIG_00018436,FIG_00018438,FIG_00026739
FIG_00018436,FIG_00018452,FIG_00026939
FIG_00018436,FIG_00018452,FIG_00034592
FIG_00018436,FIG_00018452,FIG_00019889
FIG_00018436,FIG_00018452,FIG_00026739
FIG_00018436,FIG_00018441,FIG_00026939
FIG_00018436,FIG_00018441,FIG_00034592
FIG_00018436,FIG_00018441,FIG_00019889
FIG_00018436,FIG_00018441,FIG_00026739
FIG_00004476,FIG_00004477,FIG_00022112
FIG_00004476,FIG_00004477,FIG_00029585
FIG_00004476,FIG_00004477,FIG_00007879
FIG_00004476,FIG_00004477,FIG_00029140
FIG_00004476,FIG_00004477,FIG_00021843
FIG_00011196,FIG_00011201,FIG_00032858
FIG_00011196,FIG_00011201,FIG_00030011
FIG_00011196,FIG_00011201,FIG_00034438
FIG_00011196,FIG_00011201,FIG_00012967
FIG_00011196,FIG_00011201,FIG_00012968
FIG_00011196,FIG_00011205,FIG_00032858
FIG_00011196,FIG_00011205,FIG_00030011
FIG_00011196,FIG_00011205,FIG_00034438
FIG_00011196,FIG_00011205,FIG_00012967
FIG_00011196,FIG_00011205,FIG_00012968
FIG_00011196,FIG_00011203,FIG_00032858
FIG_00011196,FIG_00011203,FIG_00030011
FIG_00011196,FIG_00011203,FIG_00034438
FIG_00011196,FIG_00011203,FIG_00012967
FIG_00011196,FIG_00011203,FIG_00012968
FIG_00007643,FIG_00007647,FIG_00022562
FIG_00007643,FIG_00007647,FIG_00017650
FIG_00007643,FIG_00007647,FIG_00009184
FIG_00007643,FIG_00007647,FIG_00017115
FIG_00013095,FIG_00013097,FIG_00027914
FIG_00013095,FIG_00013097,FIG_00023788
FIG_00013095,FIG_00013097,FIG_00013676
FIG_00013095,FIG_00013097,FIG_00028581
FIG_00013095,FIG_00013097,FIG_00025506
FIG_00013095,FIG_00013096,FIG_00027914
FIG_00013095,FIG_00013096,FIG_00023788
FIG_00013095,FIG_00013096,FIG_00013676
FIG_00013095,FIG_00013096,FIG_00028581
