figure_id,paper_id,field,image_path,phash
FIG_00000001,2605.30353v1,AI,figures/AI/FIG_00000001.png,bbe1c4c9c50bc03f
FIG_00000002,2605.30353v1,AI,figures/AI/FIG_00000002.png,ea26b7c99931924b
FIG_00000003,2605.30351v1,AI,figures/AI/FIG_00000003.png,eb4ece81b034bc2d
FIG_00000004,2605.30351v1,AI,figures/AI/FIG_00000004.png,eb6a064990bd99bc
FIG_00000005,2605.30351v1,AI,figures/AI/FIG_00000005.png,afc0b21b999ec6a4
FIG_00000006,2605.30351v1,AI,figures/AI/FIG_00000006.png,ab816b85c196d47e
FIG_00000007,2605.30351v1,AI,figures/AI/FIG_00000007.png,fee4954a85b191c6
FIG_00000008,2605.30351v1,AI,figures/AI/FIG_00000008.png,fe8cc1c5853b0d63
FIG_00000009,2605.30351v1,AI,figures/AI/FIG_00000009.png,bea1ca1f3660c19d
FIG_00000010,2605.30351v1,AI,figures/AI/FIG_00000010.png,fb89a4569a2791b1
FIG_00000011,2605.30351v1,AI,figures/AI/FIG_00000011.png,9b5be1a49683e1a5
FIG_00000012,2605.30348v1,AI,figures/AI/FIG_00000012.png,be1b42ed8493e1cc
FIG_00000013,2605.30348v1,AI,figures/AI/FIG_00000013.png,fa4ea54ac83d9907
FIG_00000014,2605.30348v1,AI,figures/AI/FIG_00000014.png,eb89f6898476d099
FIG_00000015,2605.30348v1,AI,figures/AI/FIG_00000015.png,eb1e7e7696d080a1
FIG_00000016,2605.30348v1,AI,figures/AI/FIG_00000016.png,fa18b5c2e589b326
FIG_00000017,2605.30348v1,AI,figures/AI/FIG_00000017.png,a7c0d9d2f90fe0b0
FIG_00000018,2605.30345v1,AI,figures/AI/FIG_00000018.png,da5ad22da5a5a561
FIG_00000019,2605.30345v1,AI,figures/AI/FIG_00000019.png,aeda3496cd25d131
FIG_00000020,2605.30345v1,AI,figures/AI/FIG_00000020.png,bae7994663318738
FIG_00000021,2605.30345v1,AI,figures/AI/FIG_00000021.png,faa5c4da9370f481
FIG_00000022,2605.30345v1,AI,figures/AI/FIG_00000022.png,bec0e333c436996c
FIG_00000023,2605.30345v1,AI,figures/AI/FIG_00000023.png,eacc954b4eb19127
FIG_00000024,2605.30345v1,AI,figures/AI/FIG_00000024.png,eb8ccc1b93349e61
FIG_00000025,2605.30345v1,AI,figures/AI/FIG_00000025.png,af64e0b1c14fe13c
FIG_00000026,2605.30344v1,AI,figures/AI/FIG_00000026.png,eec29d9d602cc2f2
FIG_00000027,2605.30344v1,AI,figures/AI/FIG_00000027.png,e7978858856987e6
FIG_00000028,2605.30344v1,AI,figures/AI/FIG_00000028.png,ebea40273535356c
FIG_00000029,2605.30344v1,AI,figures/AI/FIG_00000029.png,ee6de99c92939043
FIG_00000030,2605.30344v1,AI,figures/AI/FIG_00000030.png,bb804e65923fa15e
FIG_00000031,2605.30344v1,AI,figures/AI/FIG_00000031.png,eba5946b6b949158
FIG_00000032,2605.30344v1,AI,figures/AI/FIG_00000032.png,aff822274e0d646b
FIG_00000033,2605.30344v1,AI,figures/AI/FIG_00000033.png,ee6de998929390c3
FIG_00000034,2605.30343v1,AI,figures/AI/FIG_00000034.png,ebc0943e70811f3f
FIG_00000035,2605.30343v1,AI,figures/AI/FIG_00000035.png,efb19e68e046a20f
FIG_00000036,2605.30343v1,AI,figures/AI/FIG_00000036.png,bbf094e4c61f3324
FIG_00000037,2605.30343v1,AI,figures/AI/FIG_00000037.png,fa72cc8ebf21c046
FIG_00000038,2605.30343v1,AI,figures/AI/FIG_00000038.png,ba92b52dc95296a5
FIG_00000039,2605.30343v1,AI,figures/AI/FIG_00000039.png,bc1fc761c3c0f0d8
FIG_00000040,2605.30343v1,AI,figures/AI/FIG_00000040.png,ab3298cd8ec7c3e0
FIG_00000041,2605.30343v1,AI,figures/AI/FIG_00000041.png,cb9cb44ba563b4b0
FIG_00000042,2605.30343v1,AI,figures/AI/FIG_00000042.png,ea4a13b52dc946e5
FIG_00000043,2605.30343v1,AI,figures/AI/FIG_00000043.png,afc8fa3c6469c642
FIG_00000044,2605.30343v1,AI,figures/AI/FIG_00000044.png,fe4e68c1b59138c9
FIG_00000045,2605.30343v1,AI,figures/AI/FIG_00000045.png,fec9853cc31c8729
FIG_00000046,2605.30343v1,AI,figures/AI/FIG_00000046.png,fe4aa51ee198c589
FIG_00000047,2605.30343v1,AI,figures/AI/FIG_00000047.png,aaf2d92fc05a96b0
FIG_00000048,2605.30343v1,AI,figures/AI/FIG_00000048.png,fea0f5a08897ca1e
FIG_00000049,2605.30341v1,AI,figures/AI/FIG_00000049.png,eec5b13998c6c781
FIG_00000050,2605.30341v1,AI,figures/AI/FIG_00000050.png,bf848959f870c563
FIG_00000051,2605.30341v1,AI,figures/AI/FIG_00000051.png,fe906bea85738434
FIG_00000052,2605.30341v1,AI,figures/AI/FIG_00000052.png,bfa29549c099d4f2
FIG_00000053,2605.30341v1,AI,figures/AI/FIG_00000053.png,d5bbbf4aa4122b24
FIG_00000054,2605.30341v1,AI,figures/AI/FIG_00000054.png,ea4684b1d39b8c79
FIG_00000055,2605.30341v1,AI,figures/AI/FIG_00000055.png,ea3a94c5959985a7
FIG_00000056,2605.30341v1,AI,figures/AI/FIG_00000056.png,8f6aa19794d4b585
FIG_00000057,2605.30341v1,AI,figures/AI/FIG_00000057.png,f4088a23afaf95e1
FIG_00000058,2605.30341v1,AI,figures/AI/FIG_00000058.png,9a94e461e1e9b93a
FIG_00000059,2605.30341v1,AI,figures/AI/FIG_00000059.png,9adfcb5894b5a0a4
FIG_00000060,2605.30341v1,AI,figures/AI/FIG_00000060.png,aa65e592b5e99720
FIG_00000061,2605.30341v1,AI,figures/AI/FIG_00000061.png,ffc0be9b803f8034
FIG_00000062,2605.30341v1,AI,figures/AI/FIG_00000062.png,9ff8c0c2f01b1b27
FIG_00000063,2605.30341v1,AI,figures/AI/FIG_00000063.png,ab2890a16e5e93e7
FIG_00000064,2605.30341v1,AI,figures/AI/FIG_00000064.png,bb95c66ef010b564
FIG_00000065,2605.30341v1,AI,figures/AI/FIG_00000065.png,eead9195d0d2911b
FIG_00000066,2605.30341v1,AI,figures/AI/FIG_00000066.png,bf18e098e3c68c79
FIG_00000067,2605.30341v1,AI,figures/AI/FIG_00000067.png,bea1d07f8596c1c2
FIG_00000068,2605.30341v1,AI,figures/AI/FIG_00000068.png,fa84857a840ffa87
FIG_00000069,2605.30341v1,AI,figures/AI/FIG_00000069.png,eea5b13a84e56187
FIG_00000070,2605.30341v1,AI,figures/AI/FIG_00000070.png,af94d78370c9856a
FIG_00000071,2605.30341v1,AI,figures/AI/FIG_00000071.png,eefe950b951b8181
FIG_00000072,2605.30341v1,AI,figures/AI/FIG_00000072.png,cad09037a5adc8bd
FIG_00000073,2605.30341v1,AI,figures/AI/FIG_00000073.png,ff2a8799e0b0e074
FIG_00000074,2605.30341v1,AI,figures/AI/FIG_00000074.png,ff9d8591c86a94a1
FIG_00000075,2605.30341v1,AI,figures/AI/FIG_00000075.png,ca3f2a5ab5c0b5c1
FIG_00000076,2605.30341v1,AI,figures/AI/FIG_00000076.png,ff859c6a821cc16e
FIG_00000077,2605.30341v1,AI,figures/AI/FIG_00000077.png,ffd3a499a1ec80c4
FIG_00000078,2605.30341v1,AI,figures/AI/FIG_00000078.png,bf15d0acc1e4a4f1
FIG_00000079,2605.30341v1,AI,figures/AI/FIG_00000079.png,aeb4fab07ea380c4
FIG_00000080,2605.30341v1,AI,figures/AI/FIG_00000080.png,ff80f57f806d80c8
FIG_00000081,2605.30341v1,AI,figures/AI/FIG_00000081.png,fbc39bd38424a11e
FIG_00000082,2605.30341v1,AI,figures/AI/FIG_00000082.png,fe8595c1854ec936
FIG_00000083,2605.30341v1,AI,figures/AI/FIG_00000083.png,eec39098911fe17c
FIG_00000084,2605.30335v1,AI,figures/AI/FIG_00000084.png,bdc1d21e9761615a
FIG_00000085,2605.30335v1,AI,figures/AI/FIG_00000085.png,af1e78718443c787
FIG_00000086,2605.30335v1,AI,figures/AI/FIG_00000086.png,bf6b7a1d2464cc48
FIG_00000087,2605.30335v1,AI,figures/AI/FIG_00000087.png,ca165e3d3da98568
FIG_00000088,2605.30335v1,AI,figures/AI/FIG_00000088.png,ef78c595605a907a
FIG_00000089,2605.30335v1,AI,figures/AI/FIG_00000089.png,af6c7a739413858c
FIG_00000090,2605.30335v1,AI,figures/AI/FIG_00000090.png,a7787e796068e01b
FIG_00000091,2605.30334v1,AI,figures/AI/FIG_00000091.png,cb4ada91e4b4b607
FIG_00000092,2605.30334v1,AI,figures/AI/FIG_00000092.png,bf30e390d80fc1bc
FIG_00000093,2605.30334v1,AI,figures/AI/FIG_00000093.png,af9c67799456e090
FIG_00000094,2605.30334v1,AI,figures/AI/FIG_00000094.png,fa84d9578cad8839
FIG_00000095,2605.30334v1,AI,figures/AI/FIG_00000095.png,eac27d92788c872d
FIG_00000096,2605.30334v1,AI,figures/AI/FIG_00000096.png,ab8b6c4bb01cc637
FIG_00000097,2605.30334v1,AI,figures/AI/FIG_00000097.png,ff2a3bd582828179
FIG_00000098,2605.30327v1,AI,figures/AI/FIG_00000098.png,e95a96a59235a5ca
FIG_00000099,2605.30327v1,AI,figures/AI/FIG_00000099.png,bbd0942f72d0cc0f
FIG_00000100,2605.30327v1,AI,figures/AI/FIG_00000100.png,ffc0ba77c09855c0
FIG_00000101,2605.30327v1,AI,figures/AI/FIG_00000101.png,fc87aab1aa7cc580
FIG_00000102,2605.30327v1,AI,figures/AI/FIG_00000102.png,fc83ba81ab7cc4c1
FIG_00000103,2605.30327v1,AI,figures/AI/FIG_00000103.png,eac3951cc16a7ae1
FIG_00000104,2605.30327v1,AI,figures/AI/FIG_00000104.png,fa83851c953a6ae3
FIG_00000105,2605.30327v1,AI,figures/AI/FIG_00000105.png,e694996bd3b0c1cc
FIG_00000106,2605.30327v1,AI,figures/AI/FIG_00000106.png,fa85851a857a7a63
FIG_00000107,2605.30350v1,ML,figures/ML/FIG_00000107.png,bbc0c43bf08fc03b
FIG_00000108,2605.30350v1,ML,figures/ML/FIG_00000108.png,a0ffff0006f0ff00
FIG_00000109,2605.30350v1,ML,figures/ML/FIG_00000109.png,bf879478e238c12e
FIG_00000110,2605.30350v1,ML,figures/ML/FIG_00000110.png,ae1a9864f1e4c3e5
FIG_00000111,2605.30350v1,ML,figures/ML/FIG_00000111.png,fa8733b49c8cc872
FIG_00000112,2605.30350v1,ML,figures/ML/FIG_00000112.png,faac79f9885083a5
FIG_00000113,2605.30350v1,ML,figures/ML/FIG_00000113.png,af26d0b190cbdaa5
FIG_00000114,2605.30350v1,ML,figures/ML/FIG_00000114.png,ba6a9999c85a85a7
FIG_00000115,2605.30350v1,ML,figures/ML/FIG_00000115.png,bf9af085c14ec724
FIG_00000116,2605.30350v1,ML,figures/ML/FIG_00000116.png,bf099186e0d98fe4
FIG_00000117,2605.30350v1,ML,figures/ML/FIG_00000117.png,eb6994d819b6d324
FIG_00000118,2605.30350v1,ML,figures/ML/FIG_00000118.png,b96c86c6d78196e1
FIG_00000119,2605.30350v1,ML,figures/ML/FIG_00000119.png,fa9191d195e98596
FIG_00000120,2605.30337v1,ML,figures/ML/FIG_00000120.png,ee48bd7398a5a18c
FIG_00000121,2605.30337v1,ML,figures/ML/FIG_00000121.png,a9c19296eda5b529
FIG_00000122,2605.30337v1,ML,figures/ML/FIG_00000122.png,bad3159548cb15f8
