query_index,candidate_index,query_figure_id,candidate_figure_id,query_paper_id,candidate_paper_id,query_field,candidate_field,similarity,rank,negative_type
0,26330,FIG_00000001,FIG_00026331,2605.30353v1,2605.10408v2,AI,ROBOTICS,0.864896297454834,1,inter_paper
0,20667,FIG_00000001,FIG_00020668,2605.30353v1,2605.22823v1,AI,CV,0.8579665422439575,2,inter_paper
0,20669,FIG_00000001,FIG_00020670,2605.30353v1,2605.22823v1,AI,CV,0.8516314029693604,3,inter_paper
0,4216,FIG_00000001,FIG_00004217,2605.30353v1,2605.27858v1,AI,AI,0.8458995819091797,4,inter_paper
0,3778,FIG_00000001,FIG_00003779,2605.30353v1,2605.28010v1,AI,AI,0.8415555357933044,5,inter_paper
0,1504,FIG_00000001,FIG_00001505,2605.30353v1,2605.29543v1,AI,AI,0.8394025564193726,6,inter_paper
0,21033,FIG_00000001,FIG_00021034,2605.30353v1,2605.22570v1,AI,CV,0.834986686706543,7,inter_paper
0,4217,FIG_00000001,FIG_00004218,2605.30353v1,2605.27858v1,AI,AI,0.8347586989402771,8,inter_paper
0,1132,FIG_00000001,FIG_00001133,2605.30353v1,2605.29801v1,AI,AI,0.8337960243225098,9,inter_paper
0,4215,FIG_00000001,FIG_00004216,2605.30353v1,2605.27858v1,AI,AI,0.8330181241035461,10,inter_paper
0,5484,FIG_00000001,FIG_00005485,2605.30353v1,2605.31159v1,AI,AI,0.8329707384109497,11,inter_paper
0,20668,FIG_00000001,FIG_00020669,2605.30353v1,2605.22823v1,AI,CV,0.8327943086624146,12,inter_paper
0,4214,FIG_00000001,FIG_00004215,2605.30353v1,2605.27858v1,AI,AI,0.8284323215484619,13,inter_paper
0,21028,FIG_00000001,FIG_00021029,2605.30353v1,2605.22570v1,AI,CV,0.8257125616073608,14,inter_paper
0,3869,FIG_00000001,FIG_00003870,2605.30353v1,2605.27995v2,AI,AI,0.8216827511787415,15,inter_paper
0,21009,FIG_00000001,FIG_00021010,2605.30353v1,2605.22570v1,AI,CV,0.8199334144592285,16,inter_paper
0,21023,FIG_00000001,FIG_00021024,2605.30353v1,2605.22570v1,AI,CV,0.817482590675354,17,inter_paper
0,4091,FIG_00000001,FIG_00004092,2605.30353v1,2605.27901v1,AI,AI,0.8160961866378784,18,inter_paper
0,25261,FIG_00000001,FIG_00025262,2605.30353v1,2605.13328v1,AI,ROBOTICS,0.815611720085144,19,inter_paper
0,5143,FIG_00000001,FIG_00005144,2605.30353v1,2605.27156v1,AI,AI,0.8155282735824585,20,inter_paper
