query_index,candidate_index,query_figure_id,candidate_figure_id,query_paper_id,candidate_paper_id,query_field,candidate_field,similarity,rank
21,22809,FIG_00000022,FIG_00022810,2605.30345v1,2605.21053v1,AI,ROBOTICS,0.9564815163612366,1
21,14660,FIG_00000022,FIG_00014661,2605.30345v1,2605.18550v1,AI,IMAGING,0.9527016878128052,2
21,7476,FIG_00000022,FIG_00007477,2605.30345v1,2605.30728v1,AI,ML,0.9522137641906738,3
21,1425,FIG_00000022,FIG_00001426,2605.30345v1,2605.29586v1,AI,AI,0.9515510201454163,4
21,2550,FIG_00000022,FIG_00002551,2605.30345v1,2605.28751v1,AI,AI,0.9511265754699707,5
21,936,FIG_00000022,FIG_00000937,2605.30345v1,2605.29960v1,AI,AI,0.9509732723236084,6
21,29440,FIG_00000022,FIG_00029441,2605.30345v1,2605.04908v1,AI,BIOINFO,0.9505366683006287,7
27,31,FIG_00000028,FIG_00000032,2605.30344v1,2605.30344v1,AI,AI,0.9509890675544739,1
28,32,FIG_00000029,FIG_00000033,2605.30344v1,2605.30344v1,AI,AI,0.975124180316925,1
29,13901,FIG_00000030,FIG_00013902,2605.30344v1,2605.30695v1,AI,ROBOTICS,0.957195520401001,1
29,13209,FIG_00000030,FIG_00013210,2605.30344v1,2605.29417v2,AI,CV,0.9539358615875244,2
29,14403,FIG_00000030,FIG_00014404,2605.30344v1,2605.22658v1,AI,IMAGING,0.9513847827911377,3
29,12147,FIG_00000030,FIG_00012148,2605.30344v1,2605.31351v1,AI,CV,0.9505338668823242,4
37,46,FIG_00000038,FIG_00000047,2605.30343v1,2605.30343v1,AI,AI,0.9843140840530396,1
37,3777,FIG_00000038,FIG_00003778,2605.30343v1,2605.28010v1,AI,AI,0.9524278044700623,2
41,46,FIG_00000042,FIG_00000047,2605.30343v1,2605.30343v1,AI,AI,0.9541950225830078,1
46,3777,FIG_00000047,FIG_00003778,2605.30343v1,2605.28010v1,AI,AI,0.9536245465278625,1
47,10099,FIG_00000048,FIG_00010100,2605.30343v1,2605.27736v1,AI,ML,0.9523072242736816,1
47,5802,FIG_00000048,FIG_00005803,2605.30343v1,2605.30898v1,AI,AI,0.9518428444862366,2
68,2224,FIG_00000069,FIG_00002225,2605.30341v1,2605.29126v1,AI,AI,0.9606367945671082,1
68,15370,FIG_00000069,FIG_00015371,2605.30341v1,2605.08266v1,AI,IMAGING,0.9560414552688599,2
68,1150,FIG_00000069,FIG_00001151,2605.30341v1,2605.29794v1,AI,AI,0.9557069540023804,3
68,583,FIG_00000069,FIG_00000584,2605.30341v1,2605.30188v1,AI,AI,0.9530515670776367,4
68,17970,FIG_00000069,FIG_00017971,2605.30341v1,2603.18123v3,AI,IMAGING,0.9527377486228943,5
68,2024,FIG_00000069,FIG_00002025,2605.30341v1,2605.29250v1,AI,AI,0.9527181386947632,6
68,10548,FIG_00000069,FIG_00010549,2605.30341v1,2605.27088v1,AI,ML,0.9512438774108887,7
68,4052,FIG_00000069,FIG_00004053,2605.30341v1,2605.27906v1,AI,AI,0.9509451389312744,8
78,2199,FIG_00000079,FIG_00002200,2605.30341v1,2605.29138v1,AI,AI,0.9645505547523499,1
78,32402,FIG_00000079,FIG_00032403,2605.30341v1,2601.08996v1,AI,BIOINFO,0.9610861539840698,2
78,23014,FIG_00000079,FIG_00023015,2605.30341v1,2605.20595v1,AI,ROBOTICS,0.9609735012054443,3
78,32404,FIG_00000079,FIG_00032405,2605.30341v1,2601.08996v1,AI,BIOINFO,0.9605188965797424,4
78,32405,FIG_00000079,FIG_00032406,2605.30341v1,2601.08996v1,AI,BIOINFO,0.9597333669662476,5
78,5242,FIG_00000079,FIG_00005243,2605.30341v1,2605.27081v1,AI,AI,0.9579453468322754,6
78,9656,FIG_00000079,FIG_00009657,2605.30341v1,2605.28203v1,AI,ML,0.9579223990440369,7
78,25764,FIG_00000079,FIG_00025765,2605.30341v1,2605.12162v1,AI,ROBOTICS,0.9577940702438354,8
78,32400,FIG_00000079,FIG_00032401,2605.30341v1,2601.08996v1,AI,BIOINFO,0.9570131301879883,9
78,12850,FIG_00000079,FIG_00012851,2605.30341v1,2605.30045v1,AI,CV,0.9569379091262817,10
78,19938,FIG_00000079,FIG_00019939,2605.30341v1,2602.13043v1,AI,IMAGING,0.9566388130187988,11
78,7023,FIG_00000079,FIG_00007024,2605.30341v1,2605.31057v1,AI,ML,0.9556176066398621,12
78,6049,FIG_00000079,FIG_00006050,2605.30341v1,2605.30711v1,AI,AI,0.953245997428894,13
78,3054,FIG_00000079,FIG_00003055,2605.30341v1,2605.28441v1,AI,AI,0.9520787000656128,14
78,5719,FIG_00000079,FIG_00005720,2605.30341v1,2605.30968v1,AI,AI,0.9518262147903442,15
78,25064,FIG_00000079,FIG_00025065,2605.30341v1,2605.16412v1,AI,ROBOTICS,0.9500730037689209,16
83,548,FIG_00000084,FIG_00000549,2605.30335v1,2605.30227v1,AI,AI,0.9534327983856201,1
83,9756,FIG_00000084,FIG_00009757,2605.30335v1,2605.28127v1,AI,ML,0.953302264213562,2
83,9758,FIG_00000084,FIG_00009759,2605.30335v1,2605.28127v1,AI,ML,0.9529210329055786,3
85,34952,FIG_00000086,FIG_00034953,2605.30335v1,2605.28361v1,AI,SIGNAL,0.9702001810073853,1
85,34948,FIG_00000086,FIG_00034949,2605.30335v1,2605.28361v1,AI,SIGNAL,0.9697660207748413,2
85,23605,FIG_00000086,FIG_00023606,2605.30335v1,2605.19009v1,AI,ROBOTICS,0.9685497283935547,3
85,9381,FIG_00000086,FIG_00009382,2605.30335v1,2605.28549v1,AI,ML,0.9661071300506592,4
85,29137,FIG_00000086,FIG_00029138,2605.30335v1,2605.15353v1,AI,BIOINFO,0.9659931659698486,5
85,7626,FIG_00000086,FIG_00007627,2605.30335v1,2605.30612v1,AI,ML,0.9637346863746643,6
85,25956,FIG_00000086,FIG_00025957,2605.30335v1,2605.16391v1,AI,ROBOTICS,0.9632495641708374,7
85,17147,FIG_00000086,FIG_00017148,2605.30335v1,2604.02851v1,AI,IMAGING,0.9618791341781616,8
85,6957,FIG_00000086,FIG_00006958,2605.30335v1,2605.31111v1,AI,ML,0.9598063230514526,9
85,15614,FIG_00000086,FIG_00015615,2605.30335v1,2605.00698v1,AI,IMAGING,0.9572731256484985,10
85,30860,FIG_00000086,FIG_00030861,2605.30335v1,2603.11476v1,AI,BIOINFO,0.9567446112632751,11
85,33939,FIG_00000086,FIG_00033940,2605.30335v1,2512.00100v1,AI,BIOINFO,0.95627760887146,12
85,24628,FIG_00000086,FIG_00024629,2605.30335v1,2605.15528v1,AI,ROBOTICS,0.9560559988021851,13
85,24632,FIG_00000086,FIG_00024633,2605.30335v1,2605.15528v1,AI,ROBOTICS,0.9556514024734497,14
