paper_id,num_figures
2511.04143v2,8
2511.04825v1,5
2511.04854v2,15
2511.04998v1,4
2511.05183v1,1
2511.05708v1,8
2511.05726v1,4
2511.05906v3,9
2511.06140v3,8
2511.06269v1,7
2511.06426v2,12
2511.06662v1,2
2511.06904v1,5
2511.07313v1,7
2511.07344v1,5
2511.07390v2,15
2511.07497v1,6
2511.07624v2,10
2511.08411v1,5
2511.08554v1,9
2511.08802v1,3
2511.08921v1,4
2511.09017v1,6
2511.09183v1,20
2511.09216v2,6
2511.09571v1,2
2511.09574v1,9
2511.09576v1,3
2511.09581v1,2
2511.09583v2,9
2511.09588v2,6
2511.09592v1,10
2511.09605v3,9
2511.10014v1,1
2511.10165v1,6
2511.10432v1,7
2511.10708v4,6
2511.11080v1,9
2511.11293v2,2
2511.11452v1,1
2511.11486v1,5
2511.11758v2,12
2511.11769v1,8
2511.11913v1,2
2511.12459v2,1
2511.12463v2,5
2511.12990v1,14
2511.13124v1,6
2511.13141v1,20
2511.13295v1,2
2511.13611v1,7
2511.13790v2,5
2511.13791v1,4
2511.13797v1,9
2511.13799v4,3
2511.14083v2,7
2511.14388v1,4
2511.14559v1,11
2511.14826v1,22
2511.14909v1,1
2511.14962v1,10
2511.15173v1,11
2511.15839v4,32
2511.15932v1,11
2511.16113v1,2
2511.16268v2,2
2511.16933v1,3
2511.17611v1,9
2511.17652v2,13
2511.17662v1,1
2511.17685v1,10
2511.17695v4,5
2511.17787v1,7
2511.17996v1,2
2511.18010v1,5
2511.18238v2,5
2511.18287v1,9
2511.18626v1,3
2511.18745v1,19
2511.19423v1,8
2511.19535v1,4
2511.19549v1,20
2511.19769v1,4
2511.19894v1,8
2511.20392v1,10
2511.20723v1,18
2511.20734v2,10
2511.20819v1,10
2511.20890v1,10
2511.20950v3,14
2511.21614v1,3
2511.21770v1,2
2511.21848v1,4
2511.21919v1,8
2511.22145v1,6
2511.22519v1,11
2511.23114v1,6
2512.00100v1,12
2512.00126v2,4
2512.00137v1,2
2512.00194v1,8
2512.00283v3,19
2512.00376v1,6
2512.00521v2,3
2512.00550v1,13
2512.00586v1,38
2512.00905v1,2
2512.00989v1,14
2512.01033v1,8
2512.01074v2,20
2512.01406v1,8
2512.01462v1,42
2512.01652v1,5
2512.01885v2,7
2512.01986v1,5
2512.02089v1,17
2512.02162v1,6
2512.02260v1,3
2512.02312v1,10
2512.02328v1,10
2512.02528v3,8
2512.02811v1,11
2512.02908v1,5
2512.03092v1,8
2512.03098v2,6
2512.03110v1,5
2512.03122v1,3
2512.03286v1,6
2512.03460v1,15
2512.03497v3,7
2512.03880v1,4
2512.04225v1,7
2512.04311v1,15
2512.04393v2,26
2512.05208v1,2
2512.05247v1,4
2512.05256v1,18
2512.05346v1,8
2512.05365v1,4
2512.05462v1,7
2512.05573v1,5
2512.05649v1,5
2512.05794v3,8
2512.06064v2,4
2512.06116v2,1
2512.06134v1,3
2512.06141v1,3
2512.06280v1,8
2512.06294v1,36
2512.06502v1,3
2512.06934v1,9
2512.07064v1,10
2512.07080v1,8
2512.07772v1,3
2512.07912v1,7
2512.08074v3,2
2512.08087v1,15
2512.08202v1,8
2512.08589v1,9
2512.09152v1,7
2512.09158v1,1
2512.10991v1,7
2512.10995v1,5
2512.11075v1,6
2512.11101v1,4
2512.11511v1,7
2512.11605v2,9
2512.11837v1,4
2512.11936v1,6
2512.12101v1,10
2512.12184v1,7
2512.12198v1,5
2512.12221v1,7
2512.12272v1,37
2512.12709v1,3
2512.12974v1,11
2512.13724v1,4
2512.13927v1,46
2512.13935v1,46
2512.14011v1,5
2512.14019v1,4
2512.14461v1,6
2512.14750v1,6
2512.15209v1,7
2512.15808v2,8
2512.15828v1,21
2512.15837v1,5
2512.15930v2,5
2512.16084v1,16
2512.17106v1,3
2512.17129v2,12
2512.17146v1,2
2512.17930v1,3
2512.17988v2,8
2512.18114v2,24
2512.18197v1,8
2512.18442v4,11
2512.18454v2,10
2512.19416v1,4
2512.19939v1,13
2512.20333v1,6
2512.21301v1,25
2512.21623v1,5
2512.21895v1,8
2512.21952v1,4
2512.21988v2,7
2512.21997v2,19
2512.22225v1,3
2512.22257v1,4
2512.22262v1,13
2512.22270v3,13
2512.22415v1,2
2512.22651v1,7
2512.23080v1,7
2512.23554v1,9
2512.23754v1,7
2512.23861v1,6
2512.23877v3,15
2512.24401v1,30
2512.24427v2,7
2512.24654v1,1
2512.24843v2,2
2512.24945v2,44
2601.00036v1,3
2601.00050v3,6
2601.00073v1,18
2601.00277v1,5
2601.00608v1,5
2601.00618v1,5
2601.00647v1,6
2601.00656v1,5
