caption_id,figure_id,paper_id,field,page,caption_image_path
CAP_00000001,FIG_00000001,2605.30353v1,AI,3,captions/AI/CAP_00000001.png
CAP_00000002,FIG_00000002,2605.30353v1,AI,5,captions/AI/CAP_00000002.png
CAP_00000003,FIG_00000003,2605.30351v1,AI,2,captions/AI/CAP_00000003.png
CAP_00000004,FIG_00000004,2605.30351v1,AI,3,captions/AI/CAP_00000004.png
CAP_00000005,FIG_00000005,2605.30351v1,AI,4,captions/AI/CAP_00000005.png
CAP_00000006,FIG_00000006,2605.30351v1,AI,6,captions/AI/CAP_00000006.png
CAP_00000007,FIG_00000007,2605.30351v1,AI,7,captions/AI/CAP_00000007.png
CAP_00000008,FIG_00000008,2605.30351v1,AI,8,captions/AI/CAP_00000008.png
CAP_00000009,FIG_00000009,2605.30351v1,AI,9,captions/AI/CAP_00000009.png
CAP_00000010,FIG_00000010,2605.30351v1,AI,9,captions/AI/CAP_00000010.png
CAP_00000011,FIG_00000011,2605.30351v1,AI,14,captions/AI/CAP_00000011.png
CAP_00000012,FIG_00000012,2605.30348v1,AI,1,captions/AI/CAP_00000012.png
CAP_00000013,FIG_00000013,2605.30348v1,AI,2,captions/AI/CAP_00000013.png
CAP_00000014,FIG_00000014,2605.30348v1,AI,7,captions/AI/CAP_00000014.png
CAP_00000015,FIG_00000015,2605.30348v1,AI,7,captions/AI/CAP_00000015.png
CAP_00000016,FIG_00000016,2605.30348v1,AI,8,captions/AI/CAP_00000016.png
CAP_00000017,FIG_00000017,2605.30348v1,AI,14,captions/AI/CAP_00000017.png
CAP_00000018,FIG_00000018,2605.30345v1,AI,2,captions/AI/CAP_00000018.png
CAP_00000019,FIG_00000019,2605.30345v1,AI,3,captions/AI/CAP_00000019.png
CAP_00000020,FIG_00000020,2605.30345v1,AI,6,captions/AI/CAP_00000020.png
CAP_00000021,FIG_00000021,2605.30345v1,AI,13,captions/AI/CAP_00000021.png
CAP_00000022,FIG_00000022,2605.30345v1,AI,17,captions/AI/CAP_00000022.png
CAP_00000023,FIG_00000023,2605.30345v1,AI,18,captions/AI/CAP_00000023.png
CAP_00000024,FIG_00000024,2605.30345v1,AI,18,captions/AI/CAP_00000024.png
CAP_00000025,FIG_00000025,2605.30345v1,AI,19,captions/AI/CAP_00000025.png
CAP_00000026,FIG_00000026,2605.30344v1,AI,1,captions/AI/CAP_00000026.png
CAP_00000027,FIG_00000027,2605.30344v1,AI,1,captions/AI/CAP_00000027.png
CAP_00000028,FIG_00000028,2605.30344v1,AI,9,captions/AI/CAP_00000028.png
CAP_00000029,FIG_00000029,2605.30344v1,AI,9,captions/AI/CAP_00000029.png
CAP_00000030,FIG_00000030,2605.30344v1,AI,10,captions/AI/CAP_00000030.png
CAP_00000031,FIG_00000031,2605.30344v1,AI,10,captions/AI/CAP_00000031.png
CAP_00000032,FIG_00000032,2605.30344v1,AI,22,captions/AI/CAP_00000032.png
CAP_00000033,FIG_00000033,2605.30344v1,AI,22,captions/AI/CAP_00000033.png
CAP_00000034,FIG_00000034,2605.30343v1,AI,2,captions/AI/CAP_00000034.png
CAP_00000035,FIG_00000035,2605.30343v1,AI,2,captions/AI/CAP_00000035.png
