figure_id,paper_id,field,category,page,image_path,figure_x1,figure_y1,figure_x2,figure_y2,caption_x1,caption_y1,caption_x2,caption_y2
FIG_00000001,2605.30353v1,AI,cs.AI,3,figures/AI/FIG_00000001.png,131.62,151.11,557.3,435.16,109.2,478.69,581.33,660.13
FIG_00000002,2605.30353v1,AI,cs.AI,5,figures/AI/FIG_00000002.png,133.46,160.28,1060.85,641.62,108.19,678.27,1086.29,799.47
FIG_00000003,2605.30351v1,AI,cs.AI,2,figures/AI/FIG_00000003.png,216.31,140.89,1011.89,346.11,213.27,363.2,1013.42,451.48
FIG_00000004,2605.30351v1,AI,cs.AI,3,figures/AI/FIG_00000004.png,216.65,141.62,1010.0,345.87,212.74,362.99,1013.22,499.21
FIG_00000005,2605.30351v1,AI,cs.AI,4,figures/AI/FIG_00000005.png,222.38,150.17,1011.62,593.24,212.38,621.08,1012.79,755.46
FIG_00000006,2605.30351v1,AI,cs.AI,6,figures/AI/FIG_00000006.png,214.84,142.01,1007.46,608.54,213.6,625.49,1010.38,692.41
FIG_00000007,2605.30351v1,AI,cs.AI,7,figures/AI/FIG_00000007.png,216.93,142.0,1007.51,519.01,214.01,535.94,1010.13,602.86
FIG_00000008,2605.30351v1,AI,cs.AI,8,figures/AI/FIG_00000008.png,217.32,147.55,1009.48,479.3,213.24,494.11,1010.82,604.92
FIG_00000009,2605.30351v1,AI,cs.AI,9,figures/AI/FIG_00000009.png,213.96,453.37,1009.86,660.25,212.43,675.91,1011.66,743.14
FIG_00000010,2605.30351v1,AI,cs.AI,9,figures/AI/FIG_00000010.png,213.76,141.37,1011.06,346.48,213.11,363.01,1011.13,430.02
FIG_00000011,2605.30351v1,AI,cs.AI,14,figures/AI/FIG_00000011.png,232.16,236.45,990.99,767.51,282.73,796.68,940.66,821.6
FIG_00000012,2605.30348v1,AI,cs.AI,1,figures/AI/FIG_00000012.png,611.55,437.05,1048.88,711.36,610.02,729.24,1051.13,777.0
FIG_00000013,2605.30348v1,AI,cs.AI,2,figures/AI/FIG_00000013.png,145.75,160.06,1040.48,532.34,240.34,554.88,1028.86,603.51
FIG_00000014,2605.30348v1,AI,cs.AI,7,figures/AI/FIG_00000014.png,614.34,536.77,1047.79,1014.23,609.83,1035.77,1053.3,1155.03
FIG_00000015,2605.30348v1,AI,cs.AI,7,figures/AI/FIG_00000015.png,138.89,137.88,1043.96,414.22,140.07,433.2,1051.12,505.58
FIG_00000016,2605.30348v1,AI,cs.AI,8,figures/AI/FIG_00000016.png,141.19,140.41,577.37,442.44,139.3,452.11,581.2,547.94
FIG_00000017,2605.30348v1,AI,cs.AI,14,figures/AI/FIG_00000017.png,162.16,141.64,1019.77,712.26,140.53,720.12,1052.69,838.32
FIG_00000018,2605.30345v1,AI,cs.AI,2,figures/AI/FIG_00000018.png,252.16,142.62,966.77,402.42,212.97,411.57,1011.28,477.19
FIG_00000019,2605.30345v1,AI,cs.AI,3,figures/AI/FIG_00000019.png,257.0,146.1,958.5,403.43,213.06,423.83,1011.8,510.95
FIG_00000020,2605.30345v1,AI,cs.AI,6,figures/AI/FIG_00000020.png,217.23,142.52,999.28,242.47,214.42,257.02,1009.79,301.62
FIG_00000021,2605.30345v1,AI,cs.AI,13,figures/AI/FIG_00000021.png,352.27,297.88,869.92,742.82,403.78,755.46,823.43,778.0
FIG_00000022,2605.30345v1,AI,cs.AI,17,figures/AI/FIG_00000022.png,315.48,936.98,905.58,1257.64,351.36,1271.62,873.83,1295.66
FIG_00000023,2605.30345v1,AI,cs.AI,18,figures/AI/FIG_00000023.png,634.33,1032.7,922.49,1270.99,274.13,1355.04,949.54,1378.44
FIG_00000024,2605.30345v1,AI,cs.AI,18,figures/AI/FIG_00000024.png,285.75,1032.59,447.28,1271.27,274.13,1355.04,949.54,1378.44
FIG_00000025,2605.30345v1,AI,cs.AI,19,figures/AI/FIG_00000025.png,215.33,543.39,1099.54,831.06,211.24,992.47,1011.54,1038.14
FIG_00000026,2605.30344v1,AI,cs.AI,1,figures/AI/FIG_00000026.png,108.97,426.98,1116.46,730.29,105.04,735.25,1119.52,816.33
FIG_00000027,2605.30344v1,AI,cs.AI,1,figures/AI/FIG_00000027.png,112.63,430.88,159.61,477.28,105.04,735.25,1119.52,816.33
FIG_00000028,2605.30344v1,AI,cs.AI,9,figures/AI/FIG_00000028.png,146.14,153.45,1083.68,892.84,104.21,898.4,1120.44,979.4
FIG_00000029,2605.30344v1,AI,cs.AI,9,figures/AI/FIG_00000029.png,732.69,500.81,773.28,543.56,104.21,898.4,1120.44,979.4
FIG_00000030,2605.30344v1,AI,cs.AI,10,figures/AI/FIG_00000030.png,105.6,130.69,598.18,431.66,105.6,432.99,600.47,539.93
FIG_00000031,2605.30344v1,AI,cs.AI,10,figures/AI/FIG_00000031.png,674.02,140.67,1072.37,248.32,624.11,251.89,1118.08,303.6
FIG_00000032,2605.30344v1,AI,cs.AI,22,figures/AI/FIG_00000032.png,112.01,160.01,1111.4,933.76,104.93,940.5,1120.98,1049.47
FIG_00000033,2605.30344v1,AI,cs.AI,22,figures/AI/FIG_00000033.png,740.46,585.15,782.44,628.43,104.93,940.5,1120.98,1049.47
FIG_00000034,2605.30343v1,AI,cs.AI,2,figures/AI/FIG_00000034.png,216.49,143.22,1006.92,450.43,213.54,462.95,1011.28,552.77
